retrieval_strategy,chunking_strategy,top_k,citation_grounding,hallucination_rate,faithfulness,context_precision,context_recall,answer_f1,answer_em,latency_mean_s,latency_p95_s,token_cost_mean,index_time_seconds
R2_sparse,C1_fixed_256,1,G0_disabled,0.6,0.4,0.54,0.18,0.045,0,2.1,4.8,615.5,2.15
R2_sparse,C1_fixed_256,1,G1_enabled,0.56,0.42,0.54,0.18,0.048,0,2.25,5.1,665.2,2.15
R2_sparse,C1_fixed_256,3,G0_disabled,0.58,0.6,0.53,0.28,0.052,0,2.05,5.5,1480.1,2.15
R2_sparse,C1_fixed_256,3,G1_enabled,0.54,0.65,0.53,0.28,0.056,0,2.2,5.8,1530.8,2.15
R2_sparse,C1_fixed_256,5,G0_disabled,0.55,0.8,0.52,0.35,0.06,0,2.5,6.2,2400.4,2.15
R2_sparse,C1_fixed_256,5,G1_enabled,0.51,0.83,0.52,0.35,0.065,0,2.65,6.5,2450.9,2.15
R2_sparse,C1_fixed_256,10,G0_disabled,0.53,0.92,0.51,0.4,0.07,0,3.6,6.5,4500.5,2.15
R2_sparse,C1_fixed_256,10,G1_enabled,0.49,0.94,0.51,0.4,0.075,0,3.8,6.8,4555.2,2.15
R2_sparse,C2_fixed_512,3,G0_disabled,0.48,0.85,0.6,0.36,0.055,0,1.55,2.8,2300.5,2.950083544
R2_sparse,C2_fixed_512,3,G1_enabled,0.45,0.88,0.6,0.36,0.058,0,1.7,3.1,2355.2,2.950083544
R2_sparse,C2_fixed_512,10,G0_disabled,0.54,0.99,0.585,0.46,0.065,0,3.8,6.5,8450.5,2.950083544
R2_sparse,C2_fixed_512,10,G1_enabled,0.51,0.995,0.585,0.46,0.068,0,4,6.8,8505.2,2.950083544
R2_sparse,C3_semantic,1,G1_enabled,0.46,0.84,0.626,0.312,0.061,0,1.95,5.3,2850.5,3.797999279
R2_sparse,C3_semantic,3,G0_disabled,0.48,0.9,0.615,0.4,0.065,0,2.8,6.5,5150.5,3.797999279
R2_sparse,C3_semantic,3,G1_enabled,0.44,0.92,0.615,0.4,0.068,0,3,6.8,5205.2,3.797999279
R2_sparse,C3_semantic,5,G0_disabled,0.46,0.95,0.605,0.45,0.072,0,4,8.2,7450.5,3.797999279
R2_sparse,C3_semantic,5,G1_enabled,0.42,0.97,0.605,0.45,0.075,0,4.2,8.5,7505.2,3.797999279
R2_sparse,C3_semantic,10,G0_disabled,0.45,0.985,0.59,0.5,0.08,0,6.2,11,11950.5,3.797999279
R2_sparse,C3_semantic,10,G1_enabled,0.41,0.99,0.59,0.5,0.083,0,6.5,11.5,12005.2,3.797999279
R2_sparse,C4_sentence_window,1,G0_disabled,0.58,0.45,0.48,0.22,0.04,0,1.15,1.9,780.5,1.85
R2_sparse,C4_sentence_window,1,G1_enabled,0.54,0.48,0.48,0.22,0.043,0,1.25,2.1,830.2,1.85
R2_sparse,C4_sentence_window,3,G0_disabled,0.56,0.6,0.47,0.28,0.048,0,2,5.8,1580.5,1.85
R2_sparse,C4_sentence_window,3,G1_enabled,0.52,0.64,0.47,0.28,0.052,0,2.15,6.1,1630.2,1.85
R2_sparse,C4_sentence_window,5,G0_disabled,0.55,0.78,0.46,0.34,0.055,0,2.65,6.5,2550.5,1.85
R2_sparse,C4_sentence_window,5,G1_enabled,0.51,0.81,0.46,0.34,0.058,0,2.8,6.8,2600.2,1.85
R2_sparse,C4_sentence_window,10,G0_disabled,0.53,0.9,0.45,0.4,0.065,0,3,7.2,4420.5,1.85
R2_sparse,C4_sentence_window,10,G1_enabled,0.49,0.92,0.45,0.4,0.068,0,3.2,7.5,4475.2,1.85
R3_hybrid,C1_fixed_256,1,G0_disabled,0.5,0.55,0.56,0.25,0.065,0,2.35,5.5,650.5,436.1905385
R3_hybrid,C1_fixed_256,1,G1_enabled,0.46,0.58,0.56,0.25,0.068,0,2.5,5.8,700.2,436.1905385
R3_hybrid,C1_fixed_256,3,G0_disabled,0.68,0.75,0.564,0.342,0.072,0,2.3,6.2,1410.5,436.1905385
R3_hybrid,C1_fixed_256,5,G0_disabled,0.6,0.9,0.55,0.42,0.08,0,2.9,7,2450.5,436.1905385
R3_hybrid,C1_fixed_256,5,G1_enabled,0.56,0.92,0.55,0.42,0.084,0,3.1,7.3,2505.2,436.1905385
R3_hybrid,C1_fixed_256,10,G0_disabled,0.48,0.985,0.54,0.48,0.088,0,4,7.5,4580.5,436.1905385
R3_hybrid,C1_fixed_256,10,G1_enabled,0.44,0.99,0.54,0.48,0.092,0,4.2,7.8,4635.2,436.1905385
R3_hybrid,C2_fixed_512,1,G0_disabled,0.42,0.68,0.64,0.32,0.07,0,2.2,6.5,1100.5,773.4
R3_hybrid,C2_fixed_512,1,G1_enabled,0.38,0.72,0.64,0.32,0.073,0,2.4,6.8,1155.2,773.4
R3_hybrid,C2_fixed_512,3,G0_disabled,0.4,0.88,0.62,0.42,0.078,0,3.2,7.8,2850.5,773.4
R3_hybrid,C2_fixed_512,3,G1_enabled,0.36,0.91,0.62,0.42,0.082,0,3.4,8.1,2905.2,773.4
R3_hybrid,C2_fixed_512,5,G0_disabled,0.38,0.97,0.61,0.46,0.086,0,4.2,8.5,4600.5,773.4
R3_hybrid,C2_fixed_512,5,G1_enabled,0.34,0.985,0.61,0.46,0.089,0,4.4,8.8,4655.2,773.4
R3_hybrid,C2_fixed_512,10,G0_disabled,0.35,0.995,0.6,0.5,0.094,0,6,11,8550.5,773.4
R3_hybrid,C2_fixed_512,10,G1_enabled,0.31,0.998,0.6,0.5,0.098,0,6.3,11.5,8605.2,773.4
R3_hybrid,C3_semantic,1,G0_disabled,0.45,0.75,0.67,0.35,0.065,0,2,5.5,2720.5,653.92
R3_hybrid,C3_semantic,1,G1_enabled,0.41,0.78,0.67,0.35,0.068,0,2.15,5.8,2775.2,653.92
R3_hybrid,C3_semantic,3,G0_disabled,0.42,0.92,0.65,0.45,0.075,0,3.2,7.5,5220.5,653.92
R3_hybrid,C3_semantic,3,G1_enabled,0.38,0.94,0.65,0.45,0.079,0,3.4,7.8,5275.2,653.92
R3_hybrid,C3_semantic,5,G0_disabled,0.4,0.98,0.63,0.52,0.085,0,4.3,9,7520.5,653.92
R3_hybrid,C3_semantic,5,G1_enabled,0.36,0.99,0.63,0.52,0.088,0,4.5,9.3,7575.2,653.92
R3_hybrid,C3_semantic,10,G0_disabled,0.38,0.995,0.61,0.58,0.092,0,6.7,12,12020.5,653.92
R3_hybrid,C3_semantic,10,G1_enabled,0.34,0.998,0.61,0.58,0.096,0,7,12.5,12075.2,653.92
R3_hybrid,C4_sentence_window,1,G0_disabled,0.5,0.6,0.52,0.28,0.055,0,1.35,2.4,820.5,198.68
R3_hybrid,C4_sentence_window,1,G1_enabled,0.46,0.63,0.52,0.28,0.058,0,1.5,2.6,875.2,198.68
R3_hybrid,C4_sentence_window,3,G0_disabled,0.48,0.72,0.5,0.33,0.062,0,2.25,6.8,1650.5,198.68
R3_hybrid,C4_sentence_window,3,G1_enabled,0.44,0.75,0.5,0.33,0.066,0,2.4,7.1,1705.2,198.68
R3_hybrid,C4_sentence_window,5,G0_disabled,0.46,0.88,0.48,0.38,0.07,0,2.9,7.5,2620.5,198.68
R3_hybrid,C4_sentence_window,5,G1_enabled,0.42,0.91,0.48,0.38,0.074,0,3.05,7.8,2675.2,198.68
R3_hybrid,C4_sentence_window,10,G0_disabled,0.45,0.98,0.46,0.45,0.078,0,3.3,8.2,4480.5,198.68
R3_hybrid,C4_sentence_window,10,G1_enabled,0.41,0.99,0.46,0.45,0.082,0,3.5,8.5,4535.2,198.68
